Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
4,0,192,4.3,1382,42,905,47,0,3
3,1,325,6.0,2244,70,1296,30,0,4
1,0,83,1.2,545,15,284,44,1,1
1,0,122,3.0,922,32,373,43,1,2
1,0,138,2.1,660,22,424,41,0,2
1,0,182,5.3,1278,42,885,54,0,3
1,0,425,6.0,1928,72,1150,53,0,4
1,0,580,10.4,2496,81,2441,37,0,5
2,0,203,4.0,1323,56,787,21,1,3
2,0,258,4.9,1596,56,937,40,0,3
3,1,551,8.5,2927,92,1901,51,1,5
3,1,507,9.6,2606,95,1543,48,1,5
2,0,57,1.3,489,16,131,37,1,1
2,0,553,10.2,2911,82,2441,44,1,5
0,0,49,1.1,395,16,153,46,0,1
4,0,106,4.0,1158,23,493,18,1,2
0,0,119,3.7,608,36,461,52,1,2
1,0,288,5.4,1476,49,767,36,0,3
0,0,225,5.6,1388,55,965,36,0,3
1,0,342,7.0,1826,71,1077,26,0,4
4,0,292,4.2,1407,54,867,59,1,3
3,1,218,5.0,1475,46,972,59,0,3
0,0,64,1.8,351,15,274,56,1,1
2,0,453,7.4,2363,65,1046,41,0,4
1,0,42,1.8,417,15,284,21,1,1
4,0,36,1.5,310,15,272,45,1,1
1,0,55,1.8,328,12,196,31,0,1
3,1,210,5.0,1614,53,679,55,0,3
3,1,227,5.2,1446,46,920,59,1,3
2,0,47,1.2,437,18,234,55,1,1
3,1,461,6.3,1988,62,1004,21,1,4
0,0,94,3.1,1078,38,489,25,1,2
4,0,216,5.1,1483,54,977,45,0,3
3,1,496,10.2,2587,84,1921,56,0,5
1,0,138,3.2,1142,31,366,29,0,2
3,1,318,6.6,2055,67,1253,43,1,4
4,0,96,3.4,1198,39,401,48,0,2
1,0,510,10.7,2433,90,1729,47,1,5
2,0,83,1.1,546,10,289,32,0,1
0,0,417,6.2,2074,63,1135,35,0,4
0,0,538,9.8,2778,91,2080,35,0,5
4,0,63,1.8,321,11,271,42,1,1
1,0,50,1.4,443,16,255,26,0,1
0,0,502,8.2,2597,90,1553,27,1,5
1,0,105,3.3,723,35,566,46,1,2
0,0,186,4.8,1494,53,949,20,0,3
2,0,174,2.9,1197,23,345,20,0,2
4,0,89,1.3,314,16,201,58,0,1
3,1,66,1.5,565,17,283,42,0,1
3,1,389,6.3,2294,76,1334,53,1,4
2,0,186,5.4,1627,58,790,31,0,3
0,0,149,2.0,1041,39,356,49,1,2
3,1,69,1.7,519,10,167,51,0,1
2,0,206,5.2,1632,47,694,30,1,3
4,0,49,1.2,365,19,144,29,1,1
0,0,594,10.5,2839,91,1647,56,1,5
0,0,104,3.7,1028,29,493,39,1,2
0,0,262,5.6,1489,59,628,54,0,3
2,0,278,5.3,1368,56,894,40,0,3
2,0,463,6.8,2358,68,1236,43,0,4
2,0,505,9.6,2464,91,2375,35,1,5
0,0,50,1.5,387,12,146,59,1,1
2,0,138,3.1,947,29,545,48,1,2
2,0,130,3.2,1189,37,448,45,1,2
0,0,469,6.4,1858,78,1297,55,0,4
2,0,555,10.3,2568,83,2003,52,1,5
3,1,198,5.4,1544,53,635,53,1,3
4,0,529,11.4,2891,82,1845,46,1,5
4,0,205,5.5,1699,49,729,36,1,3
3,1,170,2.4,1039,38,334,23,1,2
4,0,160,3.2,648,31,339,27,0,2
3,1,81,1.6,387,13,224,48,1,1
0,0,468,7.3,1937,64,1209,22,1,4
2,0,500,11.2,2925,84,2438,27,1,5
0,0,37,1.6,490,18,216,52,1,1
2,0,522,11.4,2776,93,1768,27,0,5
2,0,81,1.5,545,17,159,40,1,1
1,0,141,3.8,689,38,576,34,1,2
4,0,115,3.5,706,26,495,52,0,2
0,0,298,4.6,1525,59,814,36,0,3
3,1,33,1.8,334,16,113,36,0,1
0,0,307,6.1,2105,76,1111,25,0,4
2,0,380,7.6,2354,77,1191,30,1,4
2,0,190,5.5,1718,58,815,42,1,3
4,0,75,1.6,325,12,225,45,1,1
0,0,218,4.0,1221,47,822,25,1,3
2,0,412,6.6,1859,67,1393,18,1,4
0,0,335,7.7,2037,68,1007,18,1,4
1,0,387,6.3,2098,61,1178,54,1,4
0,0,261,4.9,1589,56,824,52,0,3
4,0,541,9.5,2424,98,1550,32,1,5
0,0,195,5.7,1447,48,679,30,1,3
3,1,178,4.0,856,37,569,51,0,2
2,0,378,6.7,1898,78,1455,48,0,4
2,0,505,8.6,2792,82,1709,31,1,5
4,0,564,9.7,2422,83,1985,34,0,5
3,1,92,3.9,1082,26,381,22,1,2
2,0,316,6.8,1965,68,1201,59,1,4
0,0,99,3.1,942,22,457,50,0,2
4,0,62,1.7,431,13,224,44,1,1
1,0,212,5.4,1306,49,828,23,0,3
